病害名称,问题分析,解决方案
apple healthy（苹果健康）,"植株生长状态良好，无任何病害感染迹象，叶片、果实、枝干等器官发育正常，未受真菌、细菌、病毒或害虫侵害，生理机能稳定。","无需特殊防治措施，维持常规种植管理（如合理灌溉、科学施肥、适度修剪），定期巡查监测生长状态，预防潜在病虫害发生。"
Apple_Scab general（苹果黑星病一般）,"由真菌Venturia inaequalis引起，通过风雨传播，低温高湿（10-20℃，湿度＞90%）环境易爆发；叶片初期出现圆形褐色至黑色小斑，周围有黄色晕圈，后期病斑扩大凹陷，果实幼果期病斑黑色凹陷，随膨大可能畸形；发病范围局限，危害较轻，树势暂未明显衰弱。","农业防治：及时清除病叶、病果并集中烧毁，减少侵染源；合理修剪保持树冠通风透光，降低园内湿度。化学防治：喷施1:1:200波尔多液或800倍代森锰锌液，每10-14天1次，连续2-3次；若病斑明显，换用1000倍苯醚甲环唑液针对性防治。"
Apple_Scab serious（苹果黑星病严重）,"由真菌Venturia inaequalis引起，病害大面积爆发，叶片布满黑色凹陷病斑且大量早落，果实畸形开裂、病斑粗糙，病菌在病残体和枝干病斑中大量越冬；树势显著衰弱，产量大幅下降，次年侵染风险极高。","农业防治：彻底清除园内病叶、病果、枯枝并烧毁，刮除枝干病斑后涂抹5波美度石硫合剂消毒；增施氨基酸叶面肥恢复树势。化学防治：交替喷施1000倍苯醚甲环唑液和800倍代森锰锌液，缩短间隔至7-10天，连续3-4次，避免病菌抗药性。"
Apple_Frogeye Spot（苹果灰斑病）,"由真菌Botryosphaeria obtusa引起，高温高湿（25-30℃，多雨）环境易流行；叶片出现圆形灰色病斑，边缘紫褐色，中心有小黑点（分生孢子器），后期病斑破裂，果实染病呈“蛙眼”状凹陷；可导致叶片早落，果实失去商品价值，树势削弱。","农业防治：冬季清园销毁病残体，避免果园积水，修剪过密枝条增强通风；增施钙肥和有机肥提高抗病性。化学防治：发病初期喷施800倍代森锰锌液，病斑出现后换用800倍甲基硫菌灵液，每10天1次，连续2-3次。"
Cedar Apple Rust general（苹果雪松锈病一般）,"由真菌Gymnosporangium juniperi-virginianae引起，转主寄生（依赖苹果和雪松），春季风雨传播；叶片初期出现黄色小斑，后扩大为橙黄色病斑，边缘红色，背面生少量黄色孢子角，果实偶有少量病斑；附近有雪松时易传播，暂未造成大量落叶。","农业防治：清除果园周边5公里内雪松，无法清除时春季在雪松上喷施3-5波美度石硫合剂；及时剪除苹果病叶病果并销毁。化学防治：苹果展叶后喷施1000倍三唑酮液，每15天1次，连续2次。"
Cedar Apple Rust serious（苹果雪松锈病严重）,"由真菌Gymnosporangium juniperi-virginianae引起，病害大规模发生，叶片、果实、枝条布满橙黄色病斑，背面产生大量黄色毛状孢子角，叶片大量脱落，果实畸形，枝条肿胀易折；附近雪松存在时病害循环加剧，树势严重衰退。","农业防治：强化雪松处理（喷施高浓度石硫合剂），彻底清除苹果病组织并烧毁；病叶率超30%时喷施300倍磷酸二氢钾+螯合铁肥恢复树势。化学防治：交替喷施1500倍氟环唑液和1000倍醚菌酯液，每7-10天1次，连续3次；长期可改种抗病品种。"
Cherry healthy（樱桃健康）,"植株生长健壮，无病虫害感染，叶片翠绿有光泽，果实发育正常，枝干无病斑或损伤，生理代谢稳定。","维持常规管理：合理浇水（避免积水）、增施腐熟有机肥，定期修剪保持树体通风，每季度巡查一次，预防病虫害入侵。"
Cherry_Powdery Mildew general（樱桃白粉病一般）,"由真菌Podosphaera clandestina引起，高湿与干旱交替环境易爆发，通过气流传播；叶片表面出现白色粉状霉层，边缘卷曲，幼果染病后畸形；发病范围小，对产量影响较轻。","农业防治：及时清除病叶、病果，修剪过密枝条增强通风透光；增施磷钾肥提高抗病性。化学防治：喷施1000倍醚菌酯液或1500倍三唑酮液，每10天1次，连续2次。"
Cherry_Powdery Mildew serious（樱桃白粉病严重）,"由真菌Podosphaera clandestina引起，全株大面积感染，叶片、新梢、果实均覆盖厚层白粉，叶片焦枯脱落，新梢生长停滞，果实严重畸形；树势衰弱，次年结果能力显著下降。","农业防治：彻底清除病枝、病叶、病果并集中烧毁，全园深翻土壤减少菌源；叶面喷施氨基酸肥增强树势。化学防治：交替喷施800倍代森联液和1200倍氟硅唑液，每7天1次，连续3-4次，重点喷施叶片背面。"
Corn healthy（玉米健康）,"植株生长旺盛，茎秆粗壮，叶片翠绿无病斑，雄穗、雌穗发育正常，无病虫害损伤，抗逆性强。","常规管理：合理密植，适时追肥（拔节期增施氮肥），注意田间排水防涝，成熟前定期检查，预防后期病虫害。"
Crossospora zeaemaydis Tjebon and Daniels general（玉米灰斑病一般）,"由真菌Cercospora zeae-maydis引起（学名常作此规范名），高湿多雨环境易流行，通过气流传播；叶片出现浅灰色长条状病斑，边缘褐色，病斑长度2-5cm；发病初期，仅下部叶片受侵，对光合作用影响较小。","农业防治：实行轮作（与非禾本科作物），收获后清除病残体并深翻；合理密植，避免田间郁闭。化学防治：喷施1000倍苯醚甲环唑液或800倍丙环唑液，每10-15天1次，连续2次。"
Crossospora zeaemaydis Tjebon and Daniels serious（玉米灰斑病严重）,"由真菌Cercospora zeae-maydis引起，病害快速蔓延，全株叶片布满灰色长条斑，病斑融合导致叶片枯黄枯死，植株早衰；雄穗发育不良，雌穗灌浆不足，严重减产。","农业防治：彻底清除田间病残体并烧毁，增施钾肥和有机肥增强植株抗性；及时排水降低田间湿度。化学防治：交替喷施600倍代森锰锌液和1200倍戊唑醇液，每7天1次，连续3次，重点喷施中上部叶片。"
Puccinia polysora general（玉米锈病一般）,"由真菌Puccinia polysora引起，高温高湿（20-30℃，湿度＞85%）环境易爆发，通过气流传播；叶片出现黄褐色圆形锈状孢子堆，散生或聚生，主要危害中下部叶片；发病初期，对产量影响有限。","农业防治：选用抗病品种，清除田间杂草减少菌源；合理施肥，避免氮肥过多导致植株徒长。化学防治：喷施1000倍三唑酮液或1500倍戊唑醇液，每10天1次，连续2次。"
Puccinia polysora serious（玉米锈病严重）,"由真菌Puccinia polysora引起，全株叶片、叶鞘甚至苞叶布满密集的黄褐色孢子堆，孢子堆破裂后散出锈色粉末，叶片迅速枯黄枯死；植株光合作用严重受阻，籽粒不饱满，减产可达30%以上。","农业防治：及时拔除严重病株并烧毁，收获后深翻土壤；喷施磷酸二氢钾溶液增强植株抗逆性。化学防治：交替喷施800倍代森锌液和1200倍氟环唑液，每5-7天1次，连续3-4次，全株均匀喷施。"
Corn Curvularia leaf spot fungus general（玉米叶斑病一般）,"由真菌Curvularia lunata引起，高温高湿环境易发生，通过风雨传播；叶片出现椭圆形褐色病斑，边缘紫褐色，中心灰白，直径2-4mm；发病范围小，主要危害下部老叶。","农业防治：实行轮作，收获后清除病残体；合理灌溉，避免大水漫灌导致田间高湿。化学防治：喷施800倍代森锰锌液或1000倍咪鲜胺液，每12天1次，连续2次。"
Corn Curvularia leaf spot fungus serious（玉米叶斑病严重）,"由真菌Curvularia lunata引起，病斑扩大并融合成不规则大斑，叶片大面积焦枯，茎秆和苞叶也可受侵；植株提前衰老，籽粒灌浆不足，严重时绝收。","农业防治：彻底清除病残体并烧毁，增施磷钾肥提高植株抗性；加强田间通风降湿。化学防治：交替喷施600倍百菌清液和1000倍苯醚甲环唑液，每7天1次，连续3次，重点喷施发病部位。"
Maize dwarf mosaic virus（玉米花叶病毒病）,"由玉米矮花叶病毒（MDMV）引起，主要通过蚜虫传播，也可经种子带毒；叶片出现黄绿相间的 mosaic 斑纹，植株矮化，节间缩短，雄穗发育不良，雌穗不结实或籽粒少；病毒可在杂草中越冬，连作田发病重。","农业防治：选用抗病品种，清除田间及周边杂草（毒源寄主）；及时拔除病株并深埋。化学防治：重点防治蚜虫（传播媒介），喷施1000倍吡虫啉液或800倍啶虫脒液，切断传播链；发病初期喷施病毒抑制剂（如20%吗胍·乙酸铜800倍液）。"
Grape healthy（葡萄健康）,"植株生长正常，新梢健壮，叶片无病斑、无卷曲，果实饱满无畸形，果穗整齐，枝干无损伤，无病虫害迹象。","常规管理：合理修剪（保持架面通风），花期和果实膨大期追肥（增施钾肥），适时浇水（避免果实开裂），定期检查预防病害。"
Grape Black Rot Fungus general（葡萄黑腐病一般）,"由真菌Guignardia bidwellii引起，高湿多雨环境易流行，通过风雨传播；果实初期出现褐色小斑，后扩大软腐，表面产生黑色小点（分生孢子器），叶片病斑圆形、褐色有轮纹；发病初期，仅少量果实和叶片受侵。","农业防治：冬季清园销毁病果、病叶，修剪病枝；合理疏果，保持果穗通风。化学防治：喷施1:0.5:200波尔多液或800倍甲基硫菌灵液，每10天1次，连续2-3次，重点喷施果穗。"
Grape Black Rot Fungus serious（葡萄黑腐病严重）,"由真菌Guignardia bidwellii引起，大量果实软腐脱落，叶片病斑融合导致枯黄早落，新梢也可受侵出现溃疡斑；病果率可达50%以上，严重影响产量和品质，病菌在病残体中越冬。","农业防治：彻底清除病果、病叶、病枝并集中烧毁，全园喷施5波美度石硫合剂清园；增施有机肥增强树势。化学防治：交替喷施600倍代森锰锌液和1000倍苯醚甲环唑液，每7天1次，连续3-4次，果穗可套袋保护。"
Grape Black Measles Fungus general（葡萄轮斑病一般）,"由真菌Phyllosticta ampelicida引起，多雨季节易发生，通过风雨传播；叶片出现圆形或不规则病斑，中心灰白，边缘褐色，周围有黄色晕圈，病斑上有黑色小点；发病范围局限于下部叶片。","农业防治：清除病叶并深埋，加强排水降低田间湿度；合理修剪，避免叶片重叠。化学防治：喷施800倍代森锌液或1000倍多菌灵液，每12天1次，连续2次。"
Grape Black Measles Fungus serious（葡萄轮斑病严重）,"由真菌Phyllosticta ampelicida引起，病斑大面积融合，叶片焦枯脱落，新梢生长受抑；植株光合能力大幅下降，果实成熟延迟，品质降低，树势衰弱。","农业防治：彻底清除病残体并烧毁，秋季深翻土壤；叶面喷施氨基酸肥恢复树势。化学防治：交替喷施600倍百菌清液和1200倍戊唑醇液，每7-10天1次，连续3次，全株均匀喷施。"
Grape Leaf Blight Fungus general（葡萄褐斑病一般）,"由真菌Isariopsis clavispora引起，高温高湿环境易爆发，通过风雨传播；叶片出现圆形或不规则褐色病斑，直径3-10mm，背面有灰褐色霉层；初期仅下部叶片发病，病叶率＜20%。","农业防治：冬季清园销毁病叶，合理施肥（增施钾肥），避免偏施氮肥；及时排水防涝。化学防治：喷施1:1:200波尔多液或800倍代森锰锌液，每10天1次，连续2次。"
Grape Leaf Blight Fungus serious（葡萄褐斑病严重）,"由真菌Isariopsis clavispora引起，病斑扩大融合，叶片自下而上大量枯黄脱落，新梢木质化不良；植株越冬能力下降，次年萌芽率低，产量锐减。","农业防治：彻底清除病叶并烧毁，深翻土壤掩埋菌源；增施有机肥和磷钾肥增强抗性。化学防治：交替喷施600倍甲基硫菌灵液和1000倍醚菌酯液，每7天1次，连续3-4次，重点喷施叶片背面。"
Citrus healthy（柑橘健康）,"树势健壮，叶片浓绿有光泽，无黄化、卷曲或病斑，果实大小均匀、着色正常，枝干无流胶或虫蛀痕迹，根系发达。","常规管理：合理修剪（保持树冠通风），科学施肥（春梢期施氮肥，果实膨大期施钾肥），防治潜叶蛾等害虫，定期监测土壤pH值（保持5.5-6.5）。"
Citrus Greening June general（柑橘黄龙病一般）,"由细菌Candidatus Liberibacter asiaticus引起，通过木虱传播；叶片出现不均匀黄化（斑驳型黄化），新梢短弱，果实小而畸形（“红鼻果”）；发病初期仅少数枝条受侵，树势暂未严重衰退。","农业防治：严格监测并防治木虱（传播媒介），及时拔除病株（带土挖除并烧毁）；避免从病区引入苗木。化学防治：喷施1000倍噻虫嗪液或800倍毒死蜱液防治木虱；病株周围树体喷施抗生素（如200倍春雷霉素液）预防。"
Citrus Greening June serious（柑橘黄龙病严重）,"由细菌Candidatus Liberibacter asiaticus引起，全树大部分枝条黄化，叶片早落，新梢几乎不抽生，果实严重畸形且无商品价值；根系腐烂，树势彻底衰退，2-3年内枯死，病菌可通过木虱快速扩散。","农业防治：全园彻底拔除病株并烧毁，土壤撒生石灰消毒；改种无病苗木，新建园与老病区隔离5公里以上。化学防治：全园喷施1000倍联苯菊酯液+800倍噻嗪酮液灭杀木虱，连续2-3次，间隔7天；禁止在病园附近种植其他芸香科植物。"
Peach healthy（桃健康）,"树体生长旺盛，叶片嫩绿无病斑，果实表面光滑、着色均匀，枝干无疮痂或流胶，花芽饱满。","常规管理：冬季修剪病弱枝，花期疏花疏果，增施腐熟有机肥，果实膨大期增施钾肥，注意防治蚜虫和红蜘蛛。"
Peach_Bacterial Spot general（桃疮痂病一般）,"由细菌Xanthomonas arboricola pv. pruni引起，高湿环境易发病，通过风雨传播；果实表面出现圆形褐色疮痂，直径2-3mm，叶片出现多角形褐色斑；发病范围小，果实品质受影响较轻。","农业防治：冬季清园销毁病叶、病果，修剪病枝；合理修剪保持树冠通风，降低湿度。化学防治：喷施800倍春雷霉素液或1000倍噻唑锌液，每10天1次，连续2-3次，幼果期重点喷施。"
Peach_Bacterial Spot serious（桃疮痂病严重）,"由细菌Xanthomonas arboricola pv. pruni引起，果实布满疮痂且相互融合，表面粗糙开裂，叶片大量早落，新梢受侵出现溃疡斑；果实失去商品价值，树势衰弱，次年结果减少。","农业防治：彻底清除病残体并烧毁，刮除枝干溃疡斑后涂抹5波美度石硫合剂；增施有机肥和磷钾肥增强树势。化学防治：交替喷施600倍代森锰锌液和800倍噻菌铜液，每7天1次，连续3-4次，全株均匀喷施。"
Pepper healthy（辣椒健康）,"植株生长健壮，叶片浓绿无病斑，果实饱满、无畸形或斑点，茎秆粗壮，根系发达，抗逆性强。","常规管理：合理密植，避免连作，结果期增施钾肥，及时摘除老叶通风，防治蚜虫和白粉虱。"
Pepper scab general（辣椒疮痂病一般）,"由细菌Xanthomonas campestris pv. vesicatoria引起，高温高湿环境易爆发，通过风雨或农事操作传播；叶片出现圆形或不规则疮痂状病斑（中央凹陷，边缘隆起），果实病斑呈瘤状凸起；发病初期，仅下部叶片和少量果实受侵。","农业防治：种子消毒（55℃温水浸种15分钟），实行轮作（与非茄科作物），及时清除病叶。化学防治：喷施800倍春雷霉素液或1000倍氢氧化铜液，每10天1次，连续2次。"
Pepper scab serious（辣椒疮痂病严重）,"由细菌Xanthomonas campestris pv. vesicatoria引起，全株叶片、果实、茎秆均受侵，病斑融合导致叶片脱落，果实畸形腐烂，茎秆出现溃疡；植株生长停滞，严重减产甚至绝收，病菌在种子和病残体中越冬。","农业防治：彻底清除病株并烧毁，田间深翻土壤；增施磷钾肥提高抗病性，避免大水漫灌。化学防治：交替喷施600倍代森锌液和800倍噻唑锌液，每7天1次，连续3-4次，重点喷施果实和叶片背面。"
Potato healthy（马铃薯健康）,"植株生长正常，叶片无病斑，块茎大小均匀、表皮光滑，无腐烂或畸形，茎秆直立，无倒伏迹象。","常规管理：选用无病种薯，合理密植，块茎形成期增施钾肥，及时中耕培土，预防晚疫病。"
Potato_Early Blight Fungus general（马铃薯早疫病一般）,"由真菌Alternaria solani引起，高温高湿环境易发生，通过风雨传播；叶片出现圆形褐色病斑，有同心轮纹，周围有黄色晕圈，主要危害下部叶片；发病初期，病叶率＜10%。","农业防治：选用抗病品种，清除田间病叶并深埋，实行轮作（与非茄科作物）。化学防治：喷施800倍代森锰锌液或1000倍苯醚甲环唑液，每10天1次，连续2次。"
Potato_Early Blight Fungus serious（马铃薯早疫病严重）,"由真菌Alternaria solani引起，病斑快速扩散，全株叶片布满轮纹斑并枯黄脱落，块茎出现褐色凹陷斑；植株早衰，块茎发育不良，产量下降30%以上，病菌在病残体中越冬。","农业防治：彻底清除病残体并烧毁，块茎收获后晾晒消毒；增施有机肥和钾肥增强抗性。化学防治：交替喷施600倍百菌清液和1200倍戊唑醇液，每7天1次，连续3次，全株喷施并兼顾块茎周围土壤。"
Potato_Late Blight Fungus general（马铃薯晚疫病一般）,"由真菌Phytophthora infestans引起，低温高湿（18-22℃，湿度＞90%）环境易爆发，通过风雨传播；叶片出现暗绿色水渍状病斑，后变褐腐烂，背面有白色霉层，块茎出现褐色硬斑；发病初期，仅少数叶片受侵。","农业防治：选用抗病品种，及时摘除病叶并深埋，避免田间积水；合理密植，保持通风。化学防治：喷施800倍甲霜灵锰锌液或1000倍霜霉威液，每7-10天1次，连续2次。"
Potato_Late Blight Fungus serious（马铃薯晚疫病严重）,"由真菌Phytophthora infestans引起，全株叶片、茎秆腐烂，田间出现腥臭味，块茎大量腐烂（褐色病斑深入内部）；发病后3-5天可致全田毁灭，块茎收获后仍会继续腐烂，损失惨重。","农业防治：立即清除病株并烧毁，病穴撒生石灰消毒；提前收获块茎，避免淋雨。化学防治：全田喷施600倍氟啶胺液或800倍烯酰吗啉液，每5天1次，连续3-4次，重点喷施叶片背面和茎基部。"
Strawberry healthy（草莓健康）,"植株生长健壮，叶片翠绿有光泽，无病斑或卷曲，果实鲜红饱满，无畸形或腐烂，匍匐茎发育正常。","常规管理：合理密植，花期和结果期追施磷钾肥，及时摘除老叶和匍匐茎，保持田间通风，防治蚜虫和红蜘蛛。"
Strawberry_Scorch general（草莓叶枯病一般）,"由真菌Diplocarpon earlianum引起，高湿环境易发病，通过风雨传播；叶片出现紫红色小斑，后扩大为圆形病斑，中心灰白，边缘紫红色，周围有黄色晕圈；发病初期，仅下部老叶受侵。","农业防治：清除病叶并深埋，避免连作，雨后及时排水降低湿度。化学防治：喷施800倍代森锰锌液或1000倍苯醚甲环唑液，每10天1次，连续2次。"
Strawberry_Scorch serious（草莓叶枯病严重）,"由真菌Diplocarpon earlianum引起，病斑布满全株叶片，叶片焦枯脱落，新叶难以抽出，果实发育停滞且畸形；植株光合能力丧失，产量锐减，甚至整株死亡，病菌在病残体中越冬。","农业防治：彻底清除病株并烧毁，土壤深翻消毒；增施有机肥和磷钾肥增强抗性。化学防治：交替喷施600倍百菌清液和1200倍戊唑醇液，每7天1次，连续3次，全株均匀喷施。"
Tomato healthy（番茄健康）,"植株生长旺盛，叶片舒展无病斑，果实大小均匀、着色正常，茎秆粗壮，无病虫害损伤，开花结果正常。","常规管理：合理修剪（整枝打杈），结果期增施钾肥，保持土壤湿润不积水，防治蚜虫和白粉虱，定期检查叶片背面。"
tomato powdery mildew general（番茄白粉病一般）,"由真菌Oidium neolycopersici引起，高湿与干旱交替环境易爆发，通过气流传播；叶片表面出现白色粉状霉层，初期零星分布，叶片略卷曲；发病范围小，对产量影响较轻。","农业防治：及时清除病叶，合理密植保持通风，避免氮肥过多。化学防治：喷施1000倍醚菌酯液或1500倍三唑酮液，每10天1次，连续2次，重点喷施叶片背面。"
tomato powdery mildew serious（番茄白粉病严重）,"由真菌Oidium neolycopersici引起，全株叶片、茎秆覆盖厚层白粉，叶片枯黄卷曲，新梢生长停滞，果实发育不良；植株光合作用严重受阻，早期落叶，产量大幅下降。","农业防治：彻底清除病残体并烧毁，田间喷施清水冲洗部分白粉；增施磷钾肥提高抗病性。化学防治：交替喷施800倍代森联液和1200倍氟硅唑液，每7天1次，连续3-4次，全株均匀喷施。"
Tomato_Early Blight Fungus general（番茄早疫病一般）,"由真菌Alternaria solani引起，高温高湿环境易发生，通过风雨传播；叶片出现圆形褐色病斑，有同心轮纹，周围有黄色晕圈，茎秆和果实也可出现类似病斑；发病初期，仅下部叶片受侵。","农业防治：清除病叶并深埋，实行轮作（与非茄科作物），合理密植通风。化学防治：喷施800倍代森锰锌液或1000倍苯醚甲环唑液，每10天1次，连续2次。"
Tomato_Early Blight Fungus serious（番茄早疫病严重）,"由真菌Alternaria solani引起，病斑快速扩散，全株叶片枯黄脱落，茎秆出现溃疡斑，果实病斑凹陷腐烂；植株早衰，果实产量和品质严重下降，病菌在病残体中越冬。","农业防治：彻底清除病株并烧毁，深翻土壤；增施有机肥和钾肥增强树势。化学防治：交替喷施600倍百菌清液和1200倍戊唑醇液，每7天1次，连续3次，全株喷施并兼顾果实。"
Tomato_Late Blight Water Mold general（番茄晚疫病一般）,"由真菌Phytophthora infestans引起（属卵菌，俗称水霉菌），低温高湿（18-22℃，湿度＞90%）环境易爆发，通过风雨传播；叶片出现暗绿色水渍状病斑，后变褐，背面有白色霉层，果实病斑褐色硬实；发病初期，仅少数叶片和果实受侵。","农业防治：选用抗病品种，及时摘除病叶病果，避免田间积水；合理通风降湿。化学防治：喷施800倍甲霜灵锰锌液或1000倍霜霉威液，每7-10天1次，连续2次。"
Tomato_Late Blight Water Mold serious（番茄晚疫病严重）,"由真菌Phytophthora infestans引起，全株叶片、茎秆、果实腐烂，叶片萎蔫脱落，果实软腐，田间出现腥臭味；发病迅速，3-5天可致全田毁灭，产量损失可达80%以上。","农业防治：立即清除病株并烧毁，病穴撒生石灰消毒；提前采收健康果实。化学防治：全田喷施600倍氟啶胺液或800倍烯酰吗啉液，每5天1次，连续3-4次，重点喷施叶片背面和果实。"
Tomato_Leaf Mold Fungus general（番茄叶霉病一般）,"由真菌Fulvia fulva引起，高湿（湿度＞90%）环境易流行，通过气流传播；叶片背面出现灰紫色霉层，正面出现黄色病斑，叶片略卷曲；发病初期，仅下部叶片受侵。","农业防治：加强通风降湿（避免叶面结露），清除病叶并深埋，合理密植。化学防治：喷施800倍甲基硫菌灵液或1000倍多菌灵液，每10天1次，连续2次，重点喷施叶片背面。"
Tomato_Leaf Mold Fungus serious（番茄叶霉病严重）,"由真菌Fulvia fulva引起，全株叶片布满霉层和黄斑，叶片大量枯黄脱落，新梢生长受阻，果实发育不良；植株光合能力丧失，产量严重下降，病菌在病残体和种子上越冬。","农业防治：彻底清除病残体并烧毁，田间深翻；增施磷钾肥提高抗性，严格控制浇水（采用滴灌）。化学防治：交替喷施600倍代森锰锌液和1200倍醚菌酯液，每7天1次，连续3次，全株喷施。"
Tomato_Target Spot Bacteria general（番茄靶斑病一般）,"由细菌Pseudomonas syringae pv. tomato引起，高湿环境易发病，通过风雨传播；叶片出现圆形褐色病斑，中心灰白，周围有黄色晕圈，类似“靶心”；发病初期，病叶率＜10%。","农业防治：种子消毒（温汤浸种），实行轮作，清除病叶并深埋。化学防治：喷施800倍春雷霉素液或1000倍噻唑锌液，每10天1次，连续2次。"
Tomato_Target Spot Bacteria serious（番茄靶斑病严重）,"由细菌Pseudomonas syringae pv. tomato引起，病斑融合成大斑，叶片枯黄脱落，茎秆出现溃疡，果实腐烂；植株生长停滞，严重减产，病菌在种子和病残体中越冬。","农业防治：彻底清除病株并烧毁，土壤消毒；避免大水漫灌，增施有机肥。化学防治：交替喷施600倍代森锌液和800倍噻菌铜液，每7天1次，连续3-4次，全株均匀喷施。"
Tomato_Septoria Leaf Spot Fungus general（番茄斑枯病一般）,"由真菌Septoria lycopersici引起，高温高湿环境易发生，通过风雨传播；叶片出现圆形小斑，中心灰白，边缘褐色，上有黑色小点（分生孢子器）；发病初期，仅下部叶片受侵。","农业防治：清除病叶并深埋，实行轮作，合理密植通风。化学防治：喷施800倍代森锰锌液或1000倍苯醚甲环唑液，每10天1次，连续2次。"
Tomato_Septoria Leaf Spot Fungus serious（番茄斑枯病严重）,"由真菌Septoria lycopersici引起，病斑布满全株叶片，叶片枯黄脱落，茎秆和果实也可受侵；植株早衰，果实发育不良，产量大幅下降，病菌在病残体中越冬。","农业防治：彻底清除病残体并烧毁，深翻土壤；增施磷钾肥增强抗性。化学防治：交替喷施600倍百菌清液和1200倍戊唑醇液，每7天1次，连续3次，全株喷施。"
Tomato Spider Mite Damage general（番茄红蜘蛛损伤一般）,"由叶螨（如二斑叶螨）危害引起，高温干旱环境易爆发，通过爬行或气流传播；叶片背面出现黄白色小点，叶面失绿，虫口密度低；初期仅下部叶片受侵，危害较轻。","农业防治：清除田间杂草（虫源寄主），合理灌溉（避免干旱），保留田间天敌（如捕食螨）。化学防治：喷施1500倍阿维菌素液或1000倍螺螨酯液，每10天1次，连续2次，重点喷施叶片背面。"
Tomato Spider Mite Damage serious（番茄红蜘蛛损伤严重）,"由叶螨大量繁殖危害，叶片背面布满虫体和蛛丝，叶片枯黄卷曲，严重时整片叶焦枯脱落；植株光合能力丧失，果实小而畸形，甚至整株死亡，虫体可随农事操作扩散。","农业防治：彻底清除田间残株和杂草并烧毁，大水漫灌冲刷部分虫体；释放捕食螨生物防治。化学防治：交替喷施1000倍乙螨唑液和800倍克螨特液，每5-7天1次，连续3-4次，全株喷施，重点叶片背面。"
Tomato YLCV Virus general（番茄黄化曲叶病毒病一般）,"由番茄黄化曲叶病毒（TYLCV）引起，通过烟粉虱传播；植株矮化，叶片黄化卷曲，新叶变小，开花结果少；发病初期仅少数植株受侵，病毒不通过种子传播。","农业防治：选用抗病品种，安装防虫网阻隔烟粉虱，清除田间及周边杂草（毒源和虫源寄主）。化学防治：重点防治烟粉虱，喷施1000倍噻虫嗪液或800倍啶虫脒液，切断传播链；发病初期拔除病株并深埋。"
Tomato YLCV Virus serious（番茄黄化曲叶病毒病严重）,"由番茄黄化曲叶病毒（TYLCV）引起，田间大面积植株发病，全株严重矮化，叶片严重黄化卷曲，几乎无果实产出；烟粉虱大量繁殖，病毒快速扩散，连作田发病更重。","农业防治：全田拔除病株并烧毁，彻底清除杂草；改种抗病品种，实行轮作（与非茄科作物）。化学防治：全园喷施1000倍联苯菊酯液+800倍噻嗪酮液灭杀烟粉虱，连续3次，间隔7天；田间悬挂黄板诱杀烟粉虱，减少虫口密度。"
Tomato TomV general（番茄花叶病毒病一般）,"由番茄花叶病毒（ToMV）引起，可通过机械传播（农事操作）、种子传播；叶片出现黄绿相间 mosaic 斑纹，植株略矮化，果实有斑状凸起；发病初期症状较轻，高温时症状可能隐蔽。","农业防治：选用无病种子（或种子消毒：10%磷酸三钠浸种20分钟），农事操作前消毒工具和手，避免接触传播；清除病株并深埋。化学防治：发病初期喷施20%吗胍·乙酸铜800倍液或1.5%植病灵乳剂1000倍液，每10天1次，连续2-3次；增施锌肥提高抗性。"